,DATE,ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS,FREIGHT,MAIL,DISTANCE,SLIDER_KEYS
0,2019-01,Alabama,Arizona,30,0.0,0,2863,0
1,2019-01,Alabama,California,839,1123.0,0,13345,0
2,2019-01,Alabama,Colorado,8187,27.0,0,7511,0
3,2019-01,Alabama,Florida,15076,9360.0,0,4703,0
4,2019-01,Alabama,Georgia,68398,21436.0,0,1970,0
5,2019-01,Alabama,Illinois,8887,5904.0,0,6691,0
6,2019-01,Alabama,Indiana,2,58.0,0,425,0
7,2019-01,Alabama,Kentucky,1,0.0,0,396,0
8,2019-01,Alabama,Louisiana,2,0.0,0,321,0
9,2019-01,Alabama,Maryland,2231,3585.0,0,682,0
10,2019-01,Alabama,Michigan,3967,0.0,0,1804,0
11,2019-01,Alabama,Mississippi,5,0.0,0,155,0
12,2019-01,Alabama,Missouri,41,0.0,0,1599,0
13,2019-01,Alabama,Nevada,3776,1770.0,0,1618,0
14,2019-01,Alabama,New Mexico,1,0.0,0,1138,0
15,2019-01,Alabama,New York,2682,0.0,0,1732,0
16,2019-01,Alabama,North Carolina,20441,151.0,0,2457,0
17,2019-01,Alabama,Oklahoma,73,0.0,0,1182,0
18,2019-01,Alabama,Pennsylvania,1997,0.0,0,2142,0
19,2019-01,Alabama,Puerto Rico,43,0.0,0,1652,0
20,2019-01,Alabama,Rhode Island,17,456.0,0,1009,0
21,2019-01,Alabama,Tennessee,107,0.0,0,109,0
22,2019-01,Alabama,Texas,47501,14621.0,0,15107,0
23,2019-01,Alabama,Virginia,7619,0.0,0,5040,0
24,2019-01,Alabama,Wisconsin,38,0.0,0,576,0
25,2019-01,Alaska,Alaska,167770,2535315.0,3691784,111383,0
26,2019-01,Alaska,Arizona,2684,944.0,0,2552,0
27,2019-01,Alaska,California,3834,11537.0,0,2345,0
28,2019-01,Alaska,Colorado,3740,4774.0,0,2405,0
29,2019-01,Alaska,Hawaii,8856,1644.0,449,8448,0
30,2019-01,Alaska,Illinois,1479,184.0,0,5692,0
31,2019-01,Alaska,Minnesota,3525,2118.0,0,2519,0
32,2019-01,Alaska,Oregon,8625,9719.0,6784,1542,0
33,2019-01,Alaska,Texas,540,0.0,0,3266,0
34,2019-01,Alaska,Washington,88989,262841.0,45092,13873,0
35,2019-01,Arizona,Alaska,2864,358.0,575,2552,0
36,2019-01,Arizona,Arizona,51451,1240.0,41,2200,0
37,2019-01,Arizona,Arkansas,692,0.0,0,1136,0
38,2019-01,Arizona,California,434357,258909.0,432752,27563,0
39,2019-01,Arizona,Colorado,115722,87980.0,27815,9855,0
40,2019-01,Arizona,Connecticut,9,0.0,0,2213,0
41,2019-01,Arizona,Florida,58635,81099.0,102962,22195,0
42,2019-01,Arizona,Georgia,50415,86008.0,99153,7843,0
43,2019-01,Arizona,Hawaii,33181,299547.0,15925,14518,0
44,2019-01,Arizona,Idaho,13485,3580.0,0,4498,0
45,2019-01,Arizona,Illinois,108244,131543.0,136940,16763,0
46,2019-01,Arizona,Indiana,13940,12622.0,55683,6023,0
47,2019-01,Arizona,Iowa,13755,1107.0,0,5824,0
48,2019-01,Arizona,Kansas,4286,4297.0,0,2581,0
49,2019-01,Arizona,Kentucky,7872,3745.0,7513,7766,0
50,2019-01,Arizona,Louisiana,4813,6077.0,0,2533,0
51,2019-01,Arizona,Maine,11,0.0,0,2339,0
52,2019-01,Arizona,Maryland,16634,45983.0,26421,5974,0
53,2019-01,Arizona,Massachusetts,17277,31735.0,53900,6900,0
54,2019-01,Arizona,Michigan,33159,21393.0,92170,14631,0
55,2019-01,Arizona,Minnesota,63123,45926.0,46031,10235,0
56,2019-01,Arizona,Missouri,39002,63611.0,112651,10032,0
57,2019-01,Arizona,Montana,6348,0.0,0,3665,0
58,2019-01,Arizona,Nebraska,18930,9291.0,28692,5051,0
59,2019-01,Arizona,Nevada,80123,68524.0,7514,4388,0
60,2019-01,Arizona,New Hampshire,9,0.0,0,2271,0
61,2019-01,Arizona,New Jersey,27584,41637.0,74444,8515,0
62,2019-01,Arizona,New Mexico,25271,28837.0,54,2247,0
63,2019-01,Arizona,New York,33809,41980.0,45173,17000,0
64,2019-01,Arizona,North Carolina,49694,80338.0,49701,9063,0
65,2019-01,Arizona,North Dakota,10447,0.0,0,4736,0
66,2019-01,Arizona,Ohio,19349,43028.0,22799,8467,0
67,2019-01,Arizona,Oklahoma,12314,15580.0,0,3401,0
68,2019-01,Arizona,Oregon,48346,110168.0,137740,9944,0
69,2019-01,Arizona,Pennsylvania,42172,62890.0,63245,11651,0
70,2019-01,Arizona,Rhode Island,271,85.0,0,2277,0
71,2019-01,Arizona,South Carolina,4,0.0,0,3550,0
72,2019-01,Arizona,South Dakota,8101,0.0,0,3026,0
73,2019-01,Arizona,Tennessee,15233,28600.0,11,6615,0
74,2019-01,Arizona,Texas,224177,224673.0,177179,23380,0
75,2019-01,Arizona,Utah,61424,63504.0,82046,5351,0
76,2019-01,Arizona,Virginia,18493,2078.0,36165,9972,0
77,2019-01,Arizona,Washington,85209,125310.0,146350,17030,0
78,2019-01,Arizona,Wisconsin,17579,8468.0,29204,10072,0
79,2019-01,Arkansas,Arizona,682,635.0,0,2231,0
80,2019-01,Arkansas,California,2969,0.0,0,12125,0
81,2019-01,Arkansas,Colorado,6845,0.0,0,3545,0
82,2019-01,Arkansas,Florida,3429,0.0,0,2461,0
83,2019-01,Arkansas,Georgia,30253,10069.0,0,3705,0
84,2019-01,Arkansas,Illinois,11654,59.0,0,5362,0
85,2019-01,Arkansas,Indiana,18,0.0,0,474,0
86,2019-01,Arkansas,Kentucky,1,0.0,0,513,0
87,2019-01,Arkansas,Louisiana,7,0.0,0,346,0
88,2019-01,Arkansas,Maryland,3,0.0,0,912,0
89,2019-01,Arkansas,Minnesota,1672,0.0,0,1894,0
90,2019-01,Arkansas,Missouri,4916,4164.0,0,842,0
91,2019-01,Arkansas,Nevada,4883,4704.0,0,4007,0
92,2019-01,Arkansas,New Jersey,755,0.0,0,1131,0
93,2019-01,Arkansas,New Mexico,21,0.0,0,817,0
94,2019-01,Arkansas,New York,2308,0.0,0,3379,0
95,2019-01,Arkansas,North Carolina,10030,1279.0,0,2034,0
96,2019-01,Arkansas,Ohio,33,0.0,0,728,0
97,2019-01,Arkansas,Pennsylvania,9,0.0,0,768,0
98,2019-01,Arkansas,Tennessee,214,379.0,0,525,0
99,2019-01,Arkansas,Texas,55385,10962.0,1,8808,0
100,2019-01,Arkansas,Virginia,2137,0.0,0,2739,0
101,2019-01,California,Alabama,956,2059.0,0,17182,0
102,2019-01,California,Alaska,3982,47435.0,8363,4690,0
103,2019-01,California,Arizona,427708,501170.0,477430,27983,0
104,2019-01,California,Arkansas,2634,0.0,0,6077,0
105,2019-01,California,California,1745987,753593.0,335353,70904,0
106,2019-01,California,Colorado,367864,1131567.0,477296,54333,0
107,2019-01,California,Connecticut,870,2792.0,0,10038,0
108,2019-01,California,Florida,214061,953699.0,692992,137638,0
109,2019-01,California,Georgia,208779,1204897.0,979538,40413,0
110,2019-01,California,Hawaii,316863,7341773.0,508887,128536,0
111,2019-01,California,Idaho,37311,12914.0,0,12346,0
112,2019-01,California,Illinois,306085,1333776.0,1275102,52791,0
113,2019-01,California,Indiana,14576,32759.0,16397,22206,0
114,2019-01,California,Iowa,75,0.0,0,4461,0
115,2019-01,California,Kansas,35,0.0,0,3885,0
116,2019-01,California,Kentucky,15996,23828.0,5549,21044,0
117,2019-01,California,Louisiana,44514,64243.0,58324,24568,0
118,2019-01,California,Maine,178,0.0,0,2642,0
119,2019-01,California,Maryland,48702,138425.0,87606,35600,0
120,2019-01,California,Massachusetts,118996,241315.0,372373,60725,0
121,2019-01,California,Michigan,66561,86674.0,404186,33913,0
122,2019-01,California,Minnesota,105033,154857.0,615059,38518,0
123,2019-01,California,Missouri,76537,251084.0,87146,44116,0
124,2019-01,California,Montana,5121,0.0,0,6354,0
125,2019-01,California,Nebraska,7672,1709.0,5048,17710,0
126,2019-01,California,Nevada,493263,416042.0,30924,19891,0
127,2019-01,California,New Hampshire,90,853.0,0,7814,0
128,2019-01,California,New Jersey,155121,1460876.0,816660,37154,0
129,2019-01,California,New Mexico,26787,45592.0,0,13175,0
130,2019-01,California,New York,267658,2318918.0,1062412,108452,0
131,2019-01,California,North Carolina,89684,129431.0,434813,42653,0
132,2019-01,California,Ohio,27401,26733.0,143478,36889,0
133,2019-01,California,Oklahoma,8399,5581.0,0,24576,0
134,2019-01,California,Oregon,255717,395462.0,113157,34429,0
135,2019-01,California,Pennsylvania,71898,699777.0,361819,60430,0
136,2019-01,California,Puerto Rico,63,555.0,0,3386,0
137,2019-01,California,Rhode Island,62,0.0,0,13161,0
138,2019-01,California,South Carolina,670,0.0,0,15265,0
139,2019-01,California,Tennessee,42283,107763.0,132895,30472,0
140,2019-01,California,Texas,710900,3249780.0,1746047,159947,0
141,2019-01,California,Utah,209207,199104.0,52183,24120,0
142,2019-01,California,Virginia,115935,815932.0,251275,56226,0
143,2019-01,California,Washington,434922,799058.0,605033,60987,0
144,2019-01,California,Wisconsin,6461,11106.0,0,19488,0
145,2019-01,California,Wyoming,3624,0.0,0,1521,0
146,2019-01,Colorado,Alabama,8210,0.0,0,7511,0
147,2019-01,Colorado,Alaska,4900,8625.0,3438,2405,0
148,2019-01,Colorado,Arizona,122874,104168.0,26485,9216,0
149,2019-01,Colorado,Arkansas,6945,175.0,0,4932,0
150,2019-01,Colorado,California,387230,511350.0,131711,56101,0
151,2019-01,Colorado,Colorado,97906,0.0,0,8256,0
152,2019-01,Colorado,Connecticut,5323,12174.0,28765,3342,0
153,2019-01,Colorado,Florida,159408,73681.0,163903,37702,0
154,2019-01,Colorado,Georgia,77067,99923.0,138126,16299,0
155,2019-01,Colorado,Hawaii,23081,180984.0,58961,13410,0
156,2019-01,Colorado,Idaho,22185,18116.0,0,3504,0
157,2019-01,Colorado,Illinois,116076,152819.0,73799,15169,0
158,2019-01,Colorado,Indiana,19151,24802.0,0,4885,0
159,2019-01,Colorado,Iowa,19157,5702.0,0,4918,0
160,2019-01,Colorado,Kansas,10180,267.0,0,3985,0
161,2019-01,Colorado,Kentucky,23526,13796.0,1039,11624,0
162,2019-01,Colorado,Louisiana,23818,5664.0,8205,4956,0
163,2019-01,Colorado,Maryland,27314,57806.0,26232,4473,0
164,2019-01,Colorado,Massachusetts,30582,34904.0,57847,7133,0
165,2019-01,Colorado,Michigan,36700,10682.0,53877,10690,0
166,2019-01,Colorado,Minnesota,57438,73371.0,57444,5656,0
167,2019-01,Colorado,Mississippi,1247,0.0,0,967,0
168,2019-01,Colorado,Missouri,66830,45204.0,45836,12614,0
169,2019-01,Colorado,Montana,36914,21845.0,33466,9723,0
170,2019-01,Colorado,Nebraska,29957,11674.0,44711,5875,0
171,2019-01,Colorado,Nevada,94229,54161.0,30999,7380,0
172,2019-01,Colorado,New Hampshire,114,90.0,0,1729,0
173,2019-01,Colorado,New Jersey,39414,75643.0,62206,8458,0
174,2019-01,Colorado,New Mexico,19118,7869.0,0,2048,0
175,2019-01,Colorado,New York,57063,14943.0,28238,19394,0
